,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
135,"HIGHEST IN THE ROOM","Travis Scott",244594,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
136,Starboy,"The Weeknd",242808,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
137,"Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix","BRS Kash",242582,https://open.spotify.com/track/1qzckO538IWjqa7eCQdSJ4
138,"Chasin' You","Morgan Wallen",242537,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
139,"Why'd You Only Call Me When You're High?","Arctic Monkeys",242296,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
140,"GNF (OKOKOK)","Polo G",242249,https://open.spotify.com/track/1A8990rtwHQ417l3yADe5t
141,"Still Goin Down","Morgan Wallen",240721,https://open.spotify.com/track/2Qz8kpCjxulML39zB6gQxY
142,"Forever After All","Luke Combs",239993,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
143,505,"Arctic Monkeys",239746,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
144,"lovely (with Khalid)","Billie Eilish",239473,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
145,"You’re Mines Still (feat. Drake)","Yung Bleu",239222,https://open.spotify.com/track/7E2C5rBLpCKwQlhJPVFBRS
146,"MIDDLE CHILD","J. Cole",239207,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
147,"Still Trappin' (with King Von)","Lil Durk",238790,https://open.spotify.com/track/43BlKpJcSrC9AsJ3F1DKg9
148,"Mr. Brightside","The Killers",238557,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
149,"The Less I Know The Better","Tame Impala",238238,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
150,"Take Me To Church",Hozier,237526,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
151,"champagne problems","Taylor Swift",237053,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
152,"Paradise (feat. Dermot Kennedy)",MEDUZA,236422,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
